{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,13109,45.89917327579682,12.57674745109557,,Bertolo Mauro & C. S.N.C.,Agip Eni,Via Croce 6  33080  33080,33080,Prata Di Pordenone,2018-04-09,,
,5226,45.890409820321395,12.586847051589984,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,Via Puja 14 33080,33080,Prata Di Pordenone,2018-04-09,,
,25039,45.870880890283786,12.563461661338806,,F.Lli Rosolen Giorgio E Primo Societa' In Nome Collettivo,Total Erg,Via Oderzo 13  33080,33080,Prata Di Pordenone,2018-04-09,,
,31772,45.808769387189166,12.67869271337986,,Kiryeyev Sergiy,Agip Eni,Via Frattina 46 33076,33076,Pravisdomini,2018-04-09,,
,33588,46.01015156521757,12.624648279762255,,Ip Services S.R.L.,Api-Ip,Via Pionieri Dell'Aria  33080,33080,Roveredo In Piano,2018-04-09,,
,36522,46.02061962075269,12.621243819594383,,Singh Sukhjinder,Api-Ip,Via Pionieri Dell'Aria 103 33080,33080,Roveredo In Piano,2018-04-09,,
,5036,45.99105850740607,12.616443619296206,,Termoveneta S.R.L.,Termoveneta Srl,Via Xx Settembre 287/A 33080,33080,Roveredo In Piano,2018-04-09,,
,8684,45.960131020274865,12.512078027647362,,Celotto Alejandra & C. S.A.S.,Agip Eni,Via Giacomo Matteotti 10 33077,33077,Sacile,2018-04-09,,
,36231,45.95991739377027,12.509834244847298,,Costantin Distribuzione E Servizi Srl,Costantin,Via San Liberale  11 33077,33077,Sacile,2018-04-09,,
,36300,45.9439582871748,12.46259449087529,,Cima Servizi S.R.L.,Energyca,Viale Europa  33077,33077,Sacile,2018-04-09,,
,40199,45.968232557729365,12.517657577991486,,Altoe' Enrico & C. S.N.C.,Agip Eni,Via Pedrada 9 33077,33077,Sacile,2018-04-09,,
,24965,45.95182086100207,12.489291925460975,,Pignat Guido Eredi S.N.C. Di Pignat Guido E C.,Esso,Statale 13 Pontebbana  Km. 66  Dir. Conegliano 33077,33077,Sacile,2018-04-09,,
,24883,45.93870155114002,12.497373988050981,,Sanson Alessandro,Q8,Via Borgo Schiavoi N°7, N°7,Sacile,2018-04-09,,
,11771,45.959421302980886,12.502467169306783,,Servizi & Gestioni Italia S.R.L.,Q8,Viale Della Repubblica 36 33077,33077,Sacile,2018-04-09,,
,11777,45.955556458860535,12.494579822090145,,Servizi & Gestioni Italia S.R.L.,Q8,Viale Repubblica 49 33077,33077,Sacile,2018-04-09,,
,4817,45.968298868912655,12.543464675762948,,Zetagas  Di Zanella Giovanni & C. S.A.S.,Total Erg,Statale 13 Pontebbana  Km. 63 9  Dir. Treviso 33077,33077,Sacile,2018-04-09,,
,25383,46.039034981299416,12.83500943372951,,Fratelli Cristofoli Di Cristofoli Rinaldo & C. S.N.C.,Esso,Via Del Sile 33  33095,33095,San Giorgio Della Richinvelda,2018-04-09,,
,21505,46.04562803848308,12.866713553667068,,Collaviti Gabriele,Total Erg,Via Richinvelda  33095,33095,San Giorgio Della Richinvelda,2018-04-09,,
,22509,46.03397888609985,12.67641423425448,,Z.M. Service Snc Di Zanusso Alessandro E C.,Agip Eni,Via Montegrappa 26 33080,33080,San Quirino,2018-04-09,,
,6370,46.04892222383609,12.65805777755429,,Martinel Franco,Costantin,Via Maniago 28 33080,33080,San Quirino,2018-04-09,,
,29375,46.018594274554815,12.651207447052002,,Querenghi Snc Di Querenghi Antonio & Federico,Total Erg,Statale 251 Della Val Di Zoldo E Val Cellina  Km. 0  Dir. 0 33080,33080,San Quirino,2018-04-09,,
,15835,45.906232305565204,12.865533381700516,,Gazziola Celio Diego,Api-Ip,Via Guglielmo Oberdan 82 33078,33078,San Vito Al Tagliamento,2018-04-09,,
,7262,45.931305865530895,12.87163109325411,,Servizi & Gestioni Italia S.R.L.,Q8,Viale Udine Ss 463 Km 45+719  33078,33078,San Vito Al Tagliamento,2018-04-09,,
,25825,45.949803729817255,12.882351720237693,,Ip Services S.R.L.,Api-Ip,Statale 463 Del Tagliamento  Km. 43 500  Dir. Sud 33078,33078,San Vito Al Tagliamento,2018-04-09,,
,11772,45.91786115468606,12.866032186508164,,Servizi & Gestioni Italia S.R.L.,Q8,V.Le Madonna Di Rosa 18 33078,33078,San Vito Al Tagliamento,2018-04-09,,
,18022,45.92474342515573,12.873779474868797,,Luchin Alvario,Total Erg,Via Udine 26 33078,33078,San Vito Al Tagliamento,2018-04-09,,
