ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
8589,yes,,Mallozzi Santamaria Teresa,Agip Eni,41.49393,13.67794
36017,yes,,Bucciarelli Roberto,Agip Eni,41.6014,13.33747
36237,yes,,Area di Servizio Ge.Im. di Gizzi Fabrizio,Repsol,41.54001,13.49259
6796,yes,,Marcoccia Fabrizio,Agip Eni,41.66741,13.3043
36072,yes,,Mizzoni Fiorella,Esso,41.65999,13.26747
24007,yes,,Grillo Umberto,Repsol,41.64032,13.25741
34935,yes,,Al-gedi S.R.L.,Total Erg,41.65937,13.26749
28128,yes,,Ge.Ca. S.N.C. di Quistini Michele e Marcoccia Maurizio,Repsol,41.7819,13.23231
38620,yes,,Easy Service S.R.L.,Energas,41.68608,13.67214
33005,,yes,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),,41.62397,13.32168
15544,yes,,Valeriani Lucio,Agip Eni,41.60996,13.3437
20762,,yes,Valeriani Lucio,Agip Eni,41.62123,13.28284
36071,yes,,Mizzoni Fiorella,Agip Eni,41.61301,13.30353
29662,yes,,Fulgorgas Sud S.R.L.,FulgorOil,41.64133,13.30654
40441,yes,,New Energy S.R.L.,,41.65874,13.34409
35352,yes,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),,41.64295,13.33149
40442,yes,yes,New Energy S.R.L.,,41.6791,13.55727
31844,yes,,Fabrizi Giuseppe,Retitalia,41.68025,13.56471
41289,yes,,Coratti Monica,Total Erg,41.63496,13.53527
38231,yes,,Easy Service S.R.L.,Energas,41.80604,13.06345
20905,yes,,Paniccia Simone,Agip Eni,41.60948,13.28707
15533,yes,yes,Gatti Giuseppina,,41.595,13.28516
34097,yes,,Keropetrol S.p.A.,KEROPETROL,41.58996,13.28734
30206,yes,yes,New Energy S.R.L.,,41.5982,13.29313
21663,yes,,Toil S.p.A.,Q8,41.79601,13.14507
8823,yes,,Cooperativa Nuova Energia,Agip Eni,41.79084,13.13008
35832,yes,,Toil S.p.A.,Toil,41.44793,13.79623
4757,yes,,G.F.G. Società a Responsabilità Limitata,Agip Eni,41.44265,13.68095
4610,yes,yes,Battista S.R.L.,,41.54382,13.65798
31828,yes,,Fulgorgas Sud S.R.L.,FulgorOil,41.40086,13.74354
24376,yes,,Valente Marco,Agip Eni,41.51673,13.55019
4609,yes,,Over S.R.L.,Agip Eni,41.44515,13.93344
24475,yes,,Autostan S.R.L. 2004,,41.83159,13.07656
5366,yes,yes,D.E.M. S.A.S. di Pagnanelli Domenico e C.,Agip Eni,41.69764,13.5739
5198,yes,,Extragas - S.R.L.,,41.70669,13.57132
34780,yes,,Lu.Ca. di Camilli Pietro Massimo & C. S.A.S.,Total Erg,41.70476,13.63011
39606,yes,,Pascasi Andrea,Agip Eni,41.77829,13.24605
5593,yes,,Santucci S.N.C. di Santucci Marco & C.,Agip Eni,41.66256,13.39753
40016,yes,,Ca.Pa.Ia. S.R.L.,Total Erg,41.66154,13.37213
5708,yes,,Rossi Angelo,Agip Eni,41.66462,13.38527
30276,yes,yes,Distributore Eni di Tiseo Alberto e Valentino Barbara Società in Nome Collettivo,Agip Eni,41.48453,13.79404
21784,yes,,Martignetti Mattavelli S.N.C.,,44.3439,9.17872
40316,yes,,Coop Liguria Società Cooperativa di Consumo,Enercoop,44.34753,9.35026
26320,yes,,Di Modugno Enzo,Europam,44.52288,8.98859
41987,yes,,Di Modugno Luca,Europam,44.52289,8.98843
38268,yes,,Cargas S.A.S. di Cairo Mario & C.,Retitalia,44.43309,8.86633
38269,yes,,Cargas S.A.S. di Cairo Mario & C.,Retitalia,44.45451,8.95853
29782,yes,,Dellepiane Maria Grazia e Cau Roberto S.N.C.,Agip Eni,44.44941,9.02037
5062,,yes,Me-tra - Società a Responsabilità Limitata,,44.43559,8.96152
34871,,yes,Metano Genova Bolzaneto S.R.L.,Agip Eni,44.46851,8.89912
27976,yes,,Emmegas S.N.C. di Cairo Mario e Bertullacelli Maurizio & C.,Retitalia,44.4852,8.89771
41299,yes,,Magra Service di Claudio Vingiani & C. - Società in Nome Collettivo,Agip Eni,44.27513,9.42008
3931,yes,,Garantera S.A.S.,Tamoil,44.27513,9.42001
23979,yes,,Rivoli Gianni,,44.2795,9.42175
26366,yes,,Autoservice 2000 di Cara Stefano & C. S.N.C.,Tamoil,45.95302,13.43632
